tweet_author_screen_name,tweet_author_user_id
00dafuse00,1032966588528390149
1867Loyalist,1414310914615042051
1963TLS2023,1669775266753953792
1MarcusCesare,1594389198504878080
1RoboBen,413687740
2a_hawaii,1537845207672074240
5550nly,2687754222
786chica,1647855214836215812
99999____99999,149950837
_7Swapnil,799084113521233920
_ali431_,1534627790548525058
_Bill_Anderson,1713587845128937472
Aakshvaani,1611696369118629890
AAugust1970,1291413222235537409
Abhinav_tmk,385034747
AdamLeo24699204,826248083881103360
AFZ_90,241411526
AharoniNurit,1408412332053700608
Akens18799044,1265596690674974720
alanabanilla,1711168776908247040
alanthemack1,784449194362896384
alanthomo60,1556314249827344384
alivescorpion1,603743941
AmiMelamed,1110282049682841610
AmranKamalPak,1551472314247614464
Amusement2022,1589419647190929413
anandsns_1,3162927656
AndrewSchulman9,1338258745680404483
AndrewStrom618,1602637513239166981
ankit_khanna,113936735
Antilogosblog,118399956
Apelino_,630015600
appelbaum_craig,1251632516571598848
arriola_real,1579217588109774848
ArtSilkScarves,1499052810
atl_e_n220,536749626
atomicjwalk,1557097069046808576
AusRaus1,1622371931529052160
avibebert,887102582216204288
AzzadNagrik,1090937299
BaileyYang86,1501366297086423043
bakshi_123,1333794173942517762
baramundihunter,970532837131632640
BartkiewiczEd,1599180977984733184
basti_slave,1440713101750378497
BFQ007,1461853749018869766
Bidenisarapist1,1656409664307752960
Bigzig100,1519498836535828480
Bihar_Sharma_,712597710780542976
BillBiloski,796155917448478721
BitterootB96320,1662990890351341568
boilerup2020,1610032493712838656
BorcaCrusader,1389577215654993920
Brendobro99,1583526569682894853
Brew38463T,1660420064464588800
Bucky01505495,1603950709610725376
ByronCAN76,1694480982596825088
CaptRay77,1601626475148578822
Carl_Bertolli,1650266371140247552
CAShadow33,828726689505169408
Cashkingvette,1590027408136077312
Cdawgg99999,1494852308773089281
CEarthshaker01,1500890578510237699
cgmanga,1026344480
ChairmanOfBased,1395802816027889668
Charles05192071,1663671251447996418
chicagoborn_52,505281540
ChrisZ1908C,1596996116603719681
clallison95,1721094056
CliffPalmer3,2172750334
ClittyJones,1337959111959273473
CNortley,1588877400129081348
Cumbrianwalker1,1461675697404059649
CuntyB4ws,1121101931961901056
Dagalopolis,1518746175901515777
DailyUpdate4you,1690773717503356929
DaleGribble6942,1706633262355918849
Dan90654033,1408366116007682062
DannyArcher313,249299874
DannyMu99418942,1446196587517161472
DANTAROB,127308472
DeanClark417387,1680585663350210561
deesan00050636,1234084692024057857
Delluf,154817499
deltawappie,722544986483531776
DementiaJoe99,1700195113144602624
DeneenMcCarthy6,1518676343529029637
DeniseRogalins1,1237916148802490370
DeshBhaktAdi,154342113
dheerajnahar961,3012279236
DickNixonLives,36714186
dickus_erectuss,984806810
dimka1977,1307811466439843842
Dobber1022714,1688568448215928832
don_henshaw,1389582726051897345
Don_Kavillio,1576545469349580800
Dongerm08761210,1605005776367620098
donsurber,18034072
Dthunderchicken,1663177674892750850
DTruth2023,1598484752436105216
dubtroc,456898961
DWR73931420,1418037251502534658
e_t2da,1527550147344867328
edanzore1686662,1708671522431553536
edbailey1957,2369177203
elgato965,1310955340628996105
Emilidgafay,1473661197274734602
EmmaPeel1959,981002168110141445
EnglishGamGam,1681728512049201155
Ericsf99Frank,1439216612
ErMuhGawd,1534705153743278080
EvaSmejkal,735661993
ffobuol65,1634343646366511104
FindNMS,358370585
FrappNasty,1518784502008401920
fred73015362,1144587633299021824
FreeDanneskjold,1427437034965245962
